nbNoeuds;temps moyen;incertitude;best;scores;;;;;;;;;;;;;;;;;;;
10;0.004714286;0.006700594;523;492;523;523;492;492;523;492;492;485;492;523;523;492;523;492;523;523;492;523;492
20;0.011142857;0.010301575;459;459;459;413;459;459;459;459;459;415;459;459;459;459;439;459;459;458;459;459;459
30;0.098428571;0.030617233;538;538;538;406;538;538;538;538;538;538;538;538;538;538;537;538;538;538;538;538;538
40;0.152904762;0.038160658;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790;790
50;0.530047619;0.071049789;1375;1375;1360;1375;1375;1375;1375;1375;1375;520;1375;1340;930;1375;1375;1364;1071;1363;1323;1375;1375
60;0.563428571;0.073252893;1529;1524;1489;1433;1488;1436;1528;1298;789;1495;1382;1332;1528;1363;1521;611;951;1517;1493;1447;1528
70;0.345047619;0.057325106;2080;1958;1641;1900;1970;2038;1354;2050;2066;1589;1255;2080;1865;1770;1436;1783;1842;1993;1871;1887;1880
80;0.535238095;0.071396818;2443;2210;1974;2085;999;1131;2173;2015;2361;1612;1594;2430;2010;2392;2305;1453;1989;1769;1931;2225;1895
90;6.949714286;0.25726981;2312;2287;2301;2304;2257;1521;2270;2246;1923;2277;2284;2268;719;2312;2214;2296;2007;2250;2265;2207;2287
